Feature,Importance
NewHome,0.0
AveRooms,0.0011520472593810325
Population,0.002515093147546128
AveBedrms,0.003461682874722815
PopulationPerHH,0.0036873792191068266
Derived_Feature,0.005004125908688119
RoomsPerPerson,0.0103357433725006
HouseAge,0.0367039633443236
BedroomsPerRoom,0.03737281255735681
Latitude,0.05053131674143346
Longitude,0.051222666462180225
AveOccup,0.12659167143446787
MedInc,0.6714214976782925
