Model,R2,MSE,RMSE,MAE
Linear Regression,0.6754954957962944,0.41028926435617963,0.6405382614303221,0.46868446364375327
Decision Tree Regressor,0.6742211722086202,0.4119004632164901,0.6417947204647995,0.4488554625870885
