Feature,Coefficient
AveOccup,0.002664348523453632
AveBedrms,0.003184417252064816
NewHome,0.012569125728779683
AveRooms,0.023499787546861644
Population,-0.05884052388121967
HouseAge,0.10462818557908685
Derived_Feature,-0.11130439876944206
PopulationPerHH,0.11567890297675489
RoomsPerPerson,0.3410499230862909
BedroomsPerRoom,0.37514825668028307
Longitude,-0.7637931263523003
Latitude,-0.8203933789155384
MedInc,0.8600839177992013
